"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 00:00","2021","02","01","00:00","-10.7","","-18.1","","55","","","M","2","","10","","","M","99.65","","","","-16","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 01:00","2021","02","01","01:00","-11.7","","-17.9","","61","","","M","31","","10","","","M","99.64","","","","-17","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 02:00","2021","02","01","02:00","-12.4","","-18.1","","63","","","M","32","","12","","","M","99.63","","","","-19","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 03:00","2021","02","01","03:00","-11.8","","-17.5","","63","","","M","33","","7","","","M","99.62","","","","-16","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 04:00","2021","02","01","04:00","-11.5","","-17.4","","62","","","M","34","","8","","","M","99.59","","","","-16","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 05:00","2021","02","01","05:00","-11.3","","-17.6","","60","","","M","34","","8","","","M","99.58","","","","-16","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 06:00","2021","02","01","06:00","-11.0","","-16.7","","63","","","M","32","","12","","","M","99.60","","","","-17","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 07:00","2021","02","01","07:00","-11.5","","-17.1","","64","","","M","32","","14","","","M","99.63","","","","-18","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 08:00","2021","02","01","08:00","-11.3","","-16.8","","64","","","M","31","","12","","","M","99.65","","","","-17","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 09:00","2021","02","01","09:00","-10.9","","-17.8","","57","","","M","33","","10","","","M","99.65","","","","-16","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 10:00","2021","02","01","10:00","-9.3","","-17.5","","52","","","M","33","","8","","","M","99.63","","","","-14","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 11:00","2021","02","01","11:00","-8.0","","-17.3","","48","","","M","2","","10","","","M","99.60","","","","-13","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 12:00","2021","02","01","12:00","-6.8","","-16.4","","47","","","M","32","","10","","","M","99.52","","","","-11","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 13:00","2021","02","01","13:00","-5.6","","-14.7","","49","","","M","33","","11","","","M","99.43","","","","-10","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 14:00","2021","02","01","14:00","-4.8","","-14.4","","47","","","M","36","","9","","","M","99.35","","","","-9","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 15:00","2021","02","01","15:00","-3.9","","-13.6","","47","","","M","32","","15","","","M","99.34","","","","-9","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 16:00","2021","02","01","16:00","-4.9","","-15.7","","43","","","M","36","","9","","","M","99.37","","","","-9","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 17:00","2021","02","01","17:00","-5.5","","-14.2","","51","","","M","31","","19","","","M","99.39","","","","-12","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 18:00","2021","02","01","18:00","-7.1","","-14.9","","54","","","M","31","","15","","","M","99.42","","","","-13","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 19:00","2021","02","01","19:00","-7.2","","-15.5","","52","","","M","32","","20","","","M","99.43","","","","-14","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 20:00","2021","02","01","20:00","-7.0","","-14.7","","54","","","M","33","","18","","","M","99.42","","","","-14","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 21:00","2021","02","01","21:00","-7.3","","-14.5","","57","","","M","31","","12","","","M","99.41","","","","-13","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 22:00","2021","02","01","22:00","-7.4","","-14.6","","57","","","M","31","","12","","","M","99.40","","","","-13","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-01 23:00","2021","02","01","23:00","-7.4","","-15.3","","54","","","M","31","","13","","","M","99.37","","","","-13","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2021-02-02 00:00","2021","02","02","00:00","-7.8","","-15.6","","54","","","M","32","","12","","","M","99.34","","","","-13","","NA"
