Date,Cloud Coverage,Classification
2019-03-02 09:00:00 EST,8,1
2019-03-02 10:00:00 EST,4,0
2019-03-02 11:00:00 EST,4,0
2019-03-02 12:00:00 EST,4,0
2019-03-02 13:00:00 EST,8,1
2019-03-02 14:00:00 EST,8,1
2019-03-02 15:00:00 EST,8,1
2019-03-02 16:00:00 EST,4,0
2019-03-02 17:00:00 EST,8,1
2019-03-02 20:00:00 EST,7,1
2019-03-02 21:00:00 EST,6,0
2019-03-03 09:00:00 EST,8,1
2019-03-03 17:00:00 EST,8,1
2019-03-03 18:00:00 EST,8,1
2019-03-03 19:00:00 EST,8,1
2019-03-03 22:00:00 EST,7,1
2019-03-03 23:00:00 EST,8,1
2019-03-04 12:00:00 EST,7,1
2019-03-04 13:00:00 EST,7,1
2019-03-04 16:00:00 EST,7,1
2019-03-04 17:00:00 EST,7,1
2019-03-05 08:00:00 EST,8,1
2019-03-05 09:00:00 EST,8,1
2019-03-05 10:00:00 EST,7,1
2019-03-05 11:00:00 EST,8,1
2019-03-05 12:00:00 EST,8,1
2019-03-05 13:00:00 EST,7,1
2019-03-05 14:00:00 EST,7,1
2019-03-05 15:00:00 EST,7,1
2019-03-05 17:00:00 EST,6,0
2019-03-06 16:00:00 EST,6,0
2019-03-06 17:00:00 EST,4,0
2019-03-07 01:00:00 EST,7,1
2019-03-10 00:00:00 EST,8,1
2019-03-10 01:00:00 EST,8,1
2019-03-10 03:00:00 EDT,8,1
2019-03-10 04:00:00 EDT,8,1
2019-03-10 05:00:00 EDT,8,1
2019-03-10 06:00:00 EDT,8,1
2019-03-10 07:00:00 EDT,8,1
2019-03-10 08:00:00 EDT,8,1
2019-03-10 09:00:00 EDT,8,1
2019-03-10 13:00:00 EDT,8,1
2019-03-10 15:00:00 EDT,8,1
2019-03-10 16:00:00 EDT,8,1
2019-03-10 17:00:00 EDT,8,1
2019-03-10 18:00:00 EDT,8,1
2019-03-10 19:00:00 EDT,8,1
2019-03-10 20:00:00 EDT,8,1
2019-03-10 21:00:00 EDT,8,1
2019-03-11 00:00:00 EDT,8,1
2019-03-11 01:00:00 EDT,8,1
2019-03-11 16:00:00 EDT,8,1
2019-03-11 17:00:00 EDT,8,1
2019-03-11 18:00:00 EDT,7,1
2019-03-12 00:00:00 EDT,7,1
2019-03-12 01:00:00 EDT,7,1
2019-03-12 02:00:00 EDT,8,1
2019-03-12 03:00:00 EDT,8,1
2019-03-12 04:00:00 EDT,8,1
2019-03-13 13:00:00 EDT,8,1
2019-03-13 14:00:00 EDT,8,1
2019-03-13 15:00:00 EDT,8,1
2019-03-13 21:00:00 EDT,8,1
2019-03-14 12:00:00 EDT,8,1
2019-03-14 13:00:00 EDT,8,1
2019-03-14 14:00:00 EDT,8,1
2019-03-14 15:00:00 EDT,7,1
2019-03-14 16:00:00 EDT,8,1
2019-03-14 18:00:00 EDT,8,1
2019-03-14 19:00:00 EDT,7,1
2019-03-14 20:00:00 EDT,8,1
2019-03-14 21:00:00 EDT,8,1
2019-03-14 23:00:00 EDT,2,0
2019-03-15 01:00:00 EDT,7,1
2019-03-15 15:00:00 EDT,8,1
2019-03-15 17:00:00 EDT,8,1
2019-03-15 18:00:00 EDT,8,1
2019-03-15 19:00:00 EDT,8,1
2019-03-15 20:00:00 EDT,8,1
2019-03-15 21:00:00 EDT,8,1
2019-03-15 22:00:00 EDT,8,1
2019-03-15 23:00:00 EDT,8,1
2019-03-16 08:00:00 EDT,7,1
2019-03-16 10:00:00 EDT,7,1
2019-03-16 12:00:00 EDT,8,1
2019-03-16 13:00:00 EDT,7,1
2019-03-16 14:00:00 EDT,7,1
2019-03-16 15:00:00 EDT,6,0
2019-03-16 16:00:00 EDT,6,0
2019-03-16 17:00:00 EDT,6,0
2019-03-16 18:00:00 EDT,7,1
2019-03-16 23:00:00 EDT,6,0
2019-03-18 00:00:00 EDT,7,1
2019-03-18 13:00:00 EDT,8,1
2019-03-19 01:00:00 EDT,7,1
2019-03-19 02:00:00 EDT,6,0
2019-03-19 03:00:00 EDT,8,1
2019-03-20 20:00:00 EDT,8,1
2019-03-20 22:00:00 EDT,8,1
