Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility Flag,Stn Press (kPa),Wind Chill
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 0:00,2021,2,1,0:00,-10.7,-18.1,55,2,10,M,99.65,-16
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 1:00,2021,2,1,1:00,-11.7,-17.9,61,31,10,M,99.64,-17
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 2:00,2021,2,1,2:00,-12.4,-18.1,63,32,12,M,99.63,-19
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 3:00,2021,2,1,3:00,-11.8,-17.5,63,33,7,M,99.62,-16
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 4:00,2021,2,1,4:00,-11.5,-17.4,62,34,8,M,99.59,-16
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 5:00,2021,2,1,5:00,-11.3,-17.6,60,34,8,M,99.58,-16
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 6:00,2021,2,1,6:00,-11,-16.7,63,32,12,M,99.6,-17
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 7:00,2021,2,1,7:00,-11.5,-17.1,64,32,14,M,99.63,-18
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 8:00,2021,2,1,8:00,-11.3,-16.8,64,31,12,M,99.65,-17
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 9:00,2021,2,1,9:00,-10.9,-17.8,57,33,10,M,99.65,-16
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 10:00,2021,2,1,10:00,-9.3,-17.5,52,33,8,M,99.63,-14
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 11:00,2021,2,1,11:00,-8,-17.3,48,2,10,M,99.6,-13
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 12:00,2021,2,1,12:00,-6.8,-16.4,47,32,10,M,99.52,-11
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 13:00,2021,2,1,13:00,-5.6,-14.7,49,33,11,M,99.43,-10
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 14:00,2021,2,1,14:00,-4.8,-14.4,47,36,9,M,99.35,-9
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 15:00,2021,2,1,15:00,-3.9,-13.6,47,32,15,M,99.34,-9
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 16:00,2021,2,1,16:00,-4.9,-15.7,43,36,9,M,99.37,-9
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 17:00,2021,2,1,17:00,-5.5,-14.2,51,31,19,M,99.39,-12
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 18:00,2021,2,1,18:00,-7.1,-14.9,54,31,15,M,99.42,-13
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 19:00,2021,2,1,19:00,-7.2,-15.5,52,32,20,M,99.43,-14
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 20:00,2021,2,1,20:00,-7,-14.7,54,33,18,M,99.42,-14
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 21:00,2021,2,1,21:00,-7.3,-14.5,57,31,12,M,99.41,-13
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 22:00,2021,2,1,22:00,-7.4,-14.6,57,31,12,M,99.4,-13
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-01 23:00,2021,2,1,23:00,-7.4,-15.3,54,31,13,M,99.37,-13
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-02 0:00,2021,2,2,0:00,-7.8,-15.6,54,32,12,M,99.34,-13
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-02 1:00,2021,2,2,1:00,-8.2,-16.1,54,33,12,M,99.29,-14
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-02 2:00,2021,2,2,2:00,-9.8,-16.6,58,30,17,M,99.25,-17
-79.37,43.86,TORONTO BUTTONVILLE A,6158409,2021-02-02 3:00,2021,2,2,3:00,-9.5,-16.2,59,32,20,M,99.2,-17
